UserId,Name,Date
"615754","jquery","2012-02-16 03:02:26"
"526535","git","2011-08-27 03:01:37"
"874188","bash","2013-11-21 03:02:53"
"415784","c++11","2012-11-21 03:00:56"
"616700","c++","2011-03-05 03:02:13"
"214671","python","2019-01-04 04:04:12"
"3185459","php","2016-09-01 04:06:16"
"5841306","sql","2018-10-13 05:51:41"
"596781","arrays","2012-09-18 03:02:40"
"719263","c","2016-03-04 03:03:14"
"40067","sql-server","2017-02-04 04:04:11"
"57752","java","2009-05-21 22:29:30"
"380231","python","2013-05-19 03:05:46"
"132767","python","2016-10-29 04:05:43"
"585456","ruby-on-rails","2017-02-11 04:04:18"
"803787","iphone","2013-02-07 03:01:16"
"314166","ruby-on-rails","2013-10-15 03:04:15"
"92096","ruby-on-rails","2016-11-22 04:02:09"
"1168156","c++","2013-03-02 03:01:20"
"29407","sql-server","2014-08-13 03:05:43"
"107366","python","2009-11-10 23:39:57"
"107744","mysql","2013-01-26 03:03:55"
"185022","android","2014-10-31 03:07:48"
"5311735","c#","2016-05-12 04:03:04"
"82769","php","2011-04-20 03:01:27"
"1697099","java","2017-02-08 06:21:24"
"13000","objective-c","2012-02-22 03:02:04"
"2750492","python","2016-03-08 04:06:35"
"893","c","2009-03-12 14:55:15"
"873145","django","2014-12-13 03:06:34"
"2095534","sql","2018-10-19 10:14:35"
"157882","html","2010-04-13 17:43:28"
"61989","c#","2012-11-09 03:02:35"
"1226963","swift","2016-10-19 02:22:21"
"957768","ios","2013-06-13 03:03:44"
"49048","c#","2014-07-25 03:05:31"
"105043","django","2013-05-29 03:01:24"
"1570000","sql","2016-11-15 00:25:53"
"438971","php","2015-12-31 03:05:49"
"138475","mysql","2010-02-20 21:18:54"
"2402272","linux","2019-01-07 17:34:22"
"612206","android","2016-11-29 21:21:07"
"372026","iphone","2014-10-07 03:07:57"
"24181","jquery","2009-12-09 11:57:42"
"544439","angularjs","2016-07-13 04:03:15"
"6478047","android","2018-12-28 07:34:15"
"12711","c#","2010-09-18 10:15:15"
"1727092","java","2017-09-27 04:05:08"
"2235132","bash","2013-10-04 03:04:24"
"1911432","node.js","2016-10-25 04:02:52"
"4265352","php","2016-02-04 03:06:45"
"283366","jquery","2014-05-16 03:08:26"
"66692","c","2009-10-19 04:29:27"
"348975","java","2013-08-14 03:03:59"
"222908","jquery","2011-04-20 03:01:26"
"187606","css","2010-02-19 16:36:55"
"1281189","r","2012-12-17 03:02:55"
"639716","jquery","2016-09-05 04:09:11"
"74939","python","2009-10-28 20:56:57"
"1001027","java","2012-07-29 03:03:22"
"641955","git","2014-05-12 03:06:58"
